Drug ID,Drug Name,Interacts With Generic Name,Interaction Link
2,Abilify,sodium oxybate,https://www.drugs.com/drug-interactions/abilify-with-sodium-oxybate-233-109-2091-0.html
2,Abilify,codeine,https://www.drugs.com/drug-interactions/abilify-with-codeine-233-109-718-0.html
2,Abilify,tramadol,https://www.drugs.com/drug-interactions/abilify-with-tramadol-233-109-2221-0.html
2,Abilify,deutetrabenazine,https://www.drugs.com/drug-interactions/abilify-with-deutetrabenazine-233-109-3799-0.html
2,Abilify,dezocine,https://www.drugs.com/drug-interactions/abilify-with-dezocine-233-109-859-0.html
2,Abilify,butorphanol,https://www.drugs.com/drug-interactions/abilify-with-butorphanol-233-109-448-0.html
2,Abilify,levomethadyl acetate,https://www.drugs.com/drug-interactions/abilify-with-levomethadyl-acetate-233-109-1459-0.html
2,Abilify,encorafenib,https://www.drugs.com/drug-interactions/abilify-with-encorafenib-233-109-3921-0.html
2,Abilify,metoclopramide,https://www.drugs.com/drug-interactions/abilify-with-metoclopramide-233-109-1612-0.html
2,Abilify,primidone,https://www.drugs.com/drug-interactions/abilify-with-primidone-233-109-1940-0.html
2,Abilify,mavorixafor,https://www.drugs.com/drug-interactions/abilify-with-mavorixafor-233-109-4611-0.html
2,Abilify,morphine liposomal,https://www.drugs.com/drug-interactions/abilify-with-morphine-liposomal-233-109-1657-0.html
2,Abilify,metrizamide,https://www.drugs.com/drug-interactions/abilify-with-metrizamide-233-109-1616-0.html
2,Abilify,phenytoin,https://www.drugs.com/drug-interactions/abilify-with-phenytoin-233-109-1863-0.html
2,Abilify,st. john's wort,https://www.drugs.com/drug-interactions/abilify-with-st-john-s-wort-233-109-2106-0.html
2,Abilify,rotigotine,https://www.drugs.com/drug-interactions/abilify-with-rotigotine-233-109-2033-0.html
2,Abilify,mitotane,https://www.drugs.com/drug-interactions/abilify-with-mitotane-233-109-1643-0.html
2,Abilify,papaverine,https://www.drugs.com/drug-interactions/abilify-with-papaverine-233-109-1792-0.html
2,Abilify,chloramphenicol,https://www.drugs.com/drug-interactions/abilify-with-chloramphenicol-233-109-579-0.html
3,Abilify Asimtufii,esketamine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-esketamine-233-20337-3996-0.html
3,Abilify Asimtufii,buprenorphine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-buprenorphine-233-20337-438-0.html
3,Abilify Asimtufii,ketamine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-ketamine-233-20337-1411-0.html
3,Abilify Asimtufii,topiramate,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-topiramate-233-20337-2216-0.html
3,Abilify Asimtufii,pentazocine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-pentazocine-233-20337-1820-0.html
3,Abilify Asimtufii,clozapine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-clozapine-233-20337-709-0.html
3,Abilify Asimtufii,apalutamide,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-apalutamide-233-20337-3893-0.html
3,Abilify Asimtufii,brexanolone,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-brexanolone-233-20337-3999-0.html
3,Abilify Asimtufii,fentanyl,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-fentanyl-233-20337-1074-0.html
3,Abilify Asimtufii,rifampin,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-rifampin-233-20337-2012-0.html
3,Abilify Asimtufii,ropinirole,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-ropinirole-233-20337-2027-0.html
3,Abilify Asimtufii,iopamidol,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-iopamidol-233-20337-1373-0.html
3,Abilify Asimtufii,metoclopramide,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-metoclopramide-233-20337-1612-0.html
3,Abilify Asimtufii,morphine liposomal,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-morphine-liposomal-233-20337-1657-0.html
3,Abilify Asimtufii,iohexol,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-iohexol-233-20337-1372-0.html
3,Abilify Asimtufii,phenobarbital,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-phenobarbital-233-20337-1846-0.html
3,Abilify Asimtufii,pergolide,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-pergolide-233-20337-1829-0.html
3,Abilify Asimtufii,rotigotine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-rotigotine-233-20337-2033-0.html
3,Abilify Asimtufii,oxymorphone,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-oxymorphone-233-20337-1773-0.html
3,Abilify Asimtufii,papaverine,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-papaverine-233-20337-1792-0.html
3,Abilify Asimtufii,bupropion,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-bupropion-233-20337-440-0.html
3,Abilify Asimtufii,ozanimod,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-ozanimod-233-20337-4142-0.html
3,Abilify Asimtufii,phenytoin,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-phenytoin-233-20337-1863-0.html
3,Abilify Asimtufii,rifabutin,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-rifabutin-233-20337-2011-0.html
3,Abilify Asimtufii,tolcapone,https://www.drugs.com/drug-interactions/abilify-asimtufii-with-tolcapone-233-20337-2212-0.html
4,Abilify Maintena,remifentanil,https://www.drugs.com/drug-interactions/abilify-maintena-with-remifentanil-233-16107-1999-0.html
4,Abilify Maintena,chloramphenicol,https://www.drugs.com/drug-interactions/abilify-maintena-with-chloramphenicol-233-16107-579-0.html
4,Abilify Maintena,phenobarbital,https://www.drugs.com/drug-interactions/abilify-maintena-with-phenobarbital-233-16107-1846-0.html
4,Abilify Maintena,morphine,https://www.drugs.com/drug-interactions/abilify-maintena-with-morphine-233-16107-1656-0.html
4,Abilify Maintena,rifabutin,https://www.drugs.com/drug-interactions/abilify-maintena-with-rifabutin-233-16107-2011-0.html
4,Abilify Maintena,st. john's wort,https://www.drugs.com/drug-interactions/abilify-maintena-with-st-john-s-wort-233-16107-2106-0.html
4,Abilify Maintena,clozapine,https://www.drugs.com/drug-interactions/abilify-maintena-with-clozapine-233-16107-709-0.html
4,Abilify Maintena,bromocriptine,https://www.drugs.com/drug-interactions/abilify-maintena-with-bromocriptine-233-16107-414-0.html
4,Abilify Maintena,tramadol,https://www.drugs.com/drug-interactions/abilify-maintena-with-tramadol-233-16107-2221-0.html
4,Abilify Maintena,enzalutamide,https://www.drugs.com/drug-interactions/abilify-maintena-with-enzalutamide-233-16107-3414-0.html
4,Abilify Maintena,rotigotine,https://www.drugs.com/drug-interactions/abilify-maintena-with-rotigotine-233-16107-2033-0.html
4,Abilify Maintena,entacapone,https://www.drugs.com/drug-interactions/abilify-maintena-with-entacapone-233-16107-979-0.html
4,Abilify Maintena,oxycodone,https://www.drugs.com/drug-interactions/abilify-maintena-with-oxycodone-233-16107-1770-0.html
4,Abilify Maintena,tapentadol,https://www.drugs.com/drug-interactions/abilify-maintena-with-tapentadol-233-16107-3132-0.html
4,Abilify Maintena,zonisamide,https://www.drugs.com/drug-interactions/abilify-maintena-with-zonisamide-233-16107-2334-0.html
4,Abilify Maintena,pentazocine,https://www.drugs.com/drug-interactions/abilify-maintena-with-pentazocine-233-16107-1820-0.html
4,Abilify Maintena,mitotane,https://www.drugs.com/drug-interactions/abilify-maintena-with-mitotane-233-16107-1643-0.html
4,Abilify Maintena,opicapone,https://www.drugs.com/drug-interactions/abilify-maintena-with-opicapone-233-16107-4148-0.html
4,Abilify Maintena,methadone,https://www.drugs.com/drug-interactions/abilify-maintena-with-methadone-233-16107-1578-0.html
4,Abilify Maintena,sodium oxybate,https://www.drugs.com/drug-interactions/abilify-maintena-with-sodium-oxybate-233-16107-2091-0.html
4,Abilify Maintena,iomeprol,https://www.drugs.com/drug-interactions/abilify-maintena-with-iomeprol-233-16107-4376-0.html
4,Abilify Maintena,encorafenib,https://www.drugs.com/drug-interactions/abilify-maintena-with-encorafenib-233-16107-3921-0.html
4,Abilify Maintena,tetrabenazine,https://www.drugs.com/drug-interactions/abilify-maintena-with-tetrabenazine-233-16107-2918-0.html
4,Abilify Maintena,esketamine,https://www.drugs.com/drug-interactions/abilify-maintena-with-esketamine-233-16107-3996-0.html
4,Abilify Maintena,metoclopramide,https://www.drugs.com/drug-interactions/abilify-maintena-with-metoclopramide-233-16107-1612-0.html
5,Abiraterone,dolasetron,https://www.drugs.com/drug-interactions/abiraterone-with-dolasetron-3321-0-926-0.html
5,Abiraterone,papaverine,https://www.drugs.com/drug-interactions/abiraterone-with-papaverine-3321-0-1792-0.html
5,Abiraterone,lefamulin,https://www.drugs.com/drug-interactions/abiraterone-with-lefamulin-3321-0-4085-0.html
5,Abiraterone,levomethadyl acetate,https://www.drugs.com/drug-interactions/abiraterone-with-levomethadyl-acetate-3321-0-1459-0.html
5,Abiraterone,ponesimod,https://www.drugs.com/drug-interactions/abiraterone-with-ponesimod-3321-0-4247-0.html
5,Abiraterone,efavirenz,https://www.drugs.com/drug-interactions/abiraterone-with-efavirenz-3321-0-963-0.html
5,Abiraterone,sparfloxacin,https://www.drugs.com/drug-interactions/abiraterone-with-sparfloxacin-3321-0-2103-0.html
5,Abiraterone,thioridazine,https://www.drugs.com/drug-interactions/abiraterone-with-thioridazine-3321-0-2184-0.html
5,Abiraterone,fosphenytoin,https://www.drugs.com/drug-interactions/abiraterone-with-fosphenytoin-3321-0-1142-0.html
5,Abiraterone,amiodarone,https://www.drugs.com/drug-interactions/abiraterone-with-amiodarone-3321-0-167-0.html
5,Abiraterone,crizotinib,https://www.drugs.com/drug-interactions/abiraterone-with-crizotinib-3321-0-3342-0.html
5,Abiraterone,mitotane,https://www.drugs.com/drug-interactions/abiraterone-with-mitotane-3321-0-1643-0.html
5,Abiraterone,pasireotide,https://www.drugs.com/drug-interactions/abiraterone-with-pasireotide-3321-0-3435-0.html
5,Abiraterone,bedaquiline,https://www.drugs.com/drug-interactions/abiraterone-with-bedaquiline-3321-0-3439-0.html
5,Abiraterone,methadone,https://www.drugs.com/drug-interactions/abiraterone-with-methadone-3321-0-1578-0.html
5,Abiraterone,encorafenib,https://www.drugs.com/drug-interactions/abiraterone-with-encorafenib-3321-0-3921-0.html
5,Abiraterone,lomitapide,https://www.drugs.com/drug-interactions/abiraterone-with-lomitapide-3321-0-3437-0.html
5,Abiraterone,fingolimod,https://www.drugs.com/drug-interactions/abiraterone-with-fingolimod-3321-0-3264-0.html
5,Abiraterone,mesoridazine,https://www.drugs.com/drug-interactions/abiraterone-with-mesoridazine-3321-0-1568-0.html
5,Abiraterone,grepafloxacin,https://www.drugs.com/drug-interactions/abiraterone-with-grepafloxacin-3321-0-1198-0.html
5,Abiraterone,nilotinib,https://www.drugs.com/drug-interactions/abiraterone-with-nilotinib-3321-0-2785-0.html
5,Abiraterone,selpercatinib,https://www.drugs.com/drug-interactions/abiraterone-with-selpercatinib-3321-0-4151-0.html
5,Abiraterone,halofantrine,https://www.drugs.com/drug-interactions/abiraterone-with-halofantrine-3321-0-1229-0.html
5,Abiraterone,apalutamide,https://www.drugs.com/drug-interactions/abiraterone-with-apalutamide-3321-0-3893-0.html
5,Abiraterone,adagrasib,https://www.drugs.com/drug-interactions/abiraterone-with-adagrasib-3321-0-4419-0.html
6,Acetaminophen,ketoconazole,https://www.drugs.com/drug-interactions/acetaminophen-with-ketoconazole-11-0-1412-0.html
6,Acetaminophen,lomitapide,https://www.drugs.com/drug-interactions/acetaminophen-with-lomitapide-11-0-3437-0.html
6,Acetaminophen,leflunomide,https://www.drugs.com/drug-interactions/acetaminophen-with-leflunomide-11-0-1440-0.html
6,Acetaminophen,levoketoconazole,https://www.drugs.com/drug-interactions/acetaminophen-with-levoketoconazole-11-0-4330-0.html
6,Acetaminophen,ethanol,https://www.drugs.com/drug-interactions/acetaminophen-with-ethanol-11-0-1034-0.html
6,Acetaminophen,pexidartinib,https://www.drugs.com/drug-interactions/acetaminophen-with-pexidartinib-11-0-4032-0.html
6,Acetaminophen,teriflunomide,https://www.drugs.com/drug-interactions/acetaminophen-with-teriflunomide-11-0-3417-0.html
6,Acetaminophen,mipomersen,https://www.drugs.com/drug-interactions/acetaminophen-with-mipomersen-11-0-3451-0.html
6,Acetaminophen,anisindione,https://www.drugs.com/drug-interactions/acetaminophen-with-anisindione-11-0-210-0.html
6,Acetaminophen,idelalisib,https://www.drugs.com/drug-interactions/acetaminophen-with-idelalisib-11-0-3546-0.html
6,Acetaminophen,mephobarbital,https://www.drugs.com/drug-interactions/acetaminophen-with-mephobarbital-11-0-1561-0.html
6,Acetaminophen,asparaginase erwinia chrysanthemi,https://www.drugs.com/drug-interactions/acetaminophen-with-asparaginase-erwinia-chrysanthemi-11-0-3367-0.html
6,Acetaminophen,ropivacaine,https://www.drugs.com/drug-interactions/acetaminophen-with-ropivacaine-11-0-2028-0.html
6,Acetaminophen,rucaparib,https://www.drugs.com/drug-interactions/acetaminophen-with-rucaparib-11-0-3778-0.html
6,Acetaminophen,etidocaine,https://www.drugs.com/drug-interactions/acetaminophen-with-etidocaine-11-0-1052-0.html
6,Acetaminophen,tislelizumab,https://www.drugs.com/drug-interactions/acetaminophen-with-tislelizumab-11-0-4592-0.html
6,Acetaminophen,pneumococcal 21-valent conjugate vaccine,https://www.drugs.com/drug-interactions/acetaminophen-with-pneumococcal-21-valent-conjugate-vaccine-11-0-4618-0.html
6,Acetaminophen,nicotine,https://www.drugs.com/drug-interactions/acetaminophen-with-nicotine-11-0-1716-0.html
6,Acetaminophen,phenobarbital,https://www.drugs.com/drug-interactions/acetaminophen-with-phenobarbital-11-0-1846-0.html
6,Acetaminophen,pitolisant,https://www.drugs.com/drug-interactions/acetaminophen-with-pitolisant-11-0-4081-0.html
6,Acetaminophen,ipilimumab,https://www.drugs.com/drug-interactions/acetaminophen-with-ipilimumab-11-0-3309-0.html
6,Acetaminophen,tremelimumab,https://www.drugs.com/drug-interactions/acetaminophen-with-tremelimumab-11-0-4408-0.html
6,Acetaminophen,encorafenib,https://www.drugs.com/drug-interactions/acetaminophen-with-encorafenib-11-0-3921-0.html
6,Acetaminophen,trabectedin,https://www.drugs.com/drug-interactions/acetaminophen-with-trabectedin-11-0-3699-0.html
6,Acetaminophen,chloroprocaine ophthalmic,https://www.drugs.com/drug-interactions/acetaminophen-with-chloroprocaine-ophthalmic-11-0-4402-0.html
7,Acetylcysteine,"insulin inhalation, rapid acting",https://www.drugs.com/drug-interactions/acetylcysteine-with-insulin-inhalation-rapid-acting-97-0-1346-0.html
7,Acetylcysteine,charcoal,https://www.drugs.com/drug-interactions/acetylcysteine-with-charcoal-97-0-574-0.html
7,Acetylcysteine,ifosfamide,https://www.drugs.com/drug-interactions/acetylcysteine-with-ifosfamide-97-0-1318-0.html
8,Actemra,chloramphenicol,https://www.drugs.com/drug-interactions/actemra-with-chloramphenicol-3186-14316-579-0.html
8,Actemra,rituximab,https://www.drugs.com/drug-interactions/actemra-with-rituximab-3186-14316-2022-0.html
8,Actemra,ustekinumab,https://www.drugs.com/drug-interactions/actemra-with-ustekinumab-3186-14316-3175-0.html
8,Actemra,teriflunomide,https://www.drugs.com/drug-interactions/actemra-with-teriflunomide-3186-14316-3417-0.html
8,Actemra,talimogene laherparepvec,https://www.drugs.com/drug-interactions/actemra-with-talimogene-laherparepvec-3186-14316-3701-0.html
8,Actemra,loncastuximab tesirine,https://www.drugs.com/drug-interactions/actemra-with-loncastuximab-tesirine-3186-14316-4257-0.html
8,Actemra,certolizumab,https://www.drugs.com/drug-interactions/actemra-with-certolizumab-3186-14316-2828-0.html
8,Actemra,infliximab,https://www.drugs.com/drug-interactions/actemra-with-infliximab-3186-14316-1336-0.html
8,Actemra,mipomersen,https://www.drugs.com/drug-interactions/actemra-with-mipomersen-3186-14316-3451-0.html
8,Actemra,voclosporin,https://www.drugs.com/drug-interactions/actemra-with-voclosporin-3186-14316-4234-0.html
8,Actemra,ponesimod,https://www.drugs.com/drug-interactions/actemra-with-ponesimod-3186-14316-4247-0.html
8,Actemra,deucravacitinib,https://www.drugs.com/drug-interactions/actemra-with-deucravacitinib-3186-14316-4392-0.html
8,Actemra,"chikungunya vaccine, live (cvx 317)",https://www.drugs.com/drug-interactions/actemra-with-chikungunya-vaccine-live-cvx-317-3186-14316-4560-0.html
8,Actemra,rilonacept,https://www.drugs.com/drug-interactions/actemra-with-rilonacept-3186-14316-2792-0.html
8,Actemra,canakinumab,https://www.drugs.com/drug-interactions/actemra-with-canakinumab-3186-14316-3151-0.html
8,Actemra,clozapine,https://www.drugs.com/drug-interactions/actemra-with-clozapine-3186-14316-709-0.html
8,Actemra,abrocitinib,https://www.drugs.com/drug-interactions/abrocitinib-with-actemra-4333-0-3186-14316.html
8,Actemra,measles virus vaccine,https://www.drugs.com/drug-interactions/actemra-with-measles-virus-vaccine-3186-14316-1531-0.html
8,Actemra,adalimumab,https://www.drugs.com/drug-interactions/actemra-with-adalimumab-3186-14316-102-0.html
8,Actemra,rotavirus vaccine,https://www.drugs.com/drug-interactions/actemra-with-rotavirus-vaccine-3186-14316-2032-0.html
8,Actemra,mumps virus vaccine,https://www.drugs.com/drug-interactions/actemra-with-mumps-virus-vaccine-3186-14316-1668-0.html
8,Actemra,rubella virus vaccine,https://www.drugs.com/drug-interactions/actemra-with-rubella-virus-vaccine-3186-14316-2034-0.html
8,Actemra,fexinidazole,https://www.drugs.com/drug-interactions/actemra-with-fexinidazole-3186-14316-4280-0.html
8,Actemra,smallpox vaccine,https://www.drugs.com/drug-interactions/actemra-with-smallpox-vaccine-3186-14316-2072-0.html
8,Actemra,"cholera vaccine, live",https://www.drugs.com/drug-interactions/actemra-with-cholera-vaccine-live-3186-14316-3772-0.html
9,Actos,clopidogrel,https://www.drugs.com/drug-interactions/actos-with-clopidogrel-1874-1213-705-0.html
9,Actos,lomitapide,https://www.drugs.com/drug-interactions/actos-with-lomitapide-1874-1213-3437-0.html
9,Actos,mipomersen,https://www.drugs.com/drug-interactions/actos-with-mipomersen-1874-1213-3451-0.html
9,Actos,teriflunomide,https://www.drugs.com/drug-interactions/actos-with-teriflunomide-1874-1213-3417-0.html
9,Actos,lumateperone,https://www.drugs.com/drug-interactions/actos-with-lumateperone-1874-1213-4114-0.html
9,Actos,gemfibrozil,https://www.drugs.com/drug-interactions/actos-with-gemfibrozil-1874-1213-1165-0.html
9,Actos,leflunomide,https://www.drugs.com/drug-interactions/actos-with-leflunomide-1874-1213-1440-0.html
9,Actos,gatifloxacin,https://www.drugs.com/drug-interactions/actos-with-gatifloxacin-1874-1213-1161-0.html
9,Actos,pexidartinib,https://www.drugs.com/drug-interactions/actos-with-pexidartinib-1874-1213-4032-0.html
9,Actos,rifampin,https://www.drugs.com/drug-interactions/actos-with-rifampin-1874-1213-2012-0.html
9,Actos,brexpiprazole,https://www.drugs.com/drug-interactions/actos-with-brexpiprazole-1874-1213-3639-0.html
9,Actos,nalidixic acid,https://www.drugs.com/drug-interactions/actos-with-nalidixic-acid-1874-1213-1680-0.html
9,Actos,rifapentine,https://www.drugs.com/drug-interactions/actos-with-rifapentine-1874-1213-2013-0.html
9,Actos,esterified estrogens,https://www.drugs.com/drug-interactions/actos-with-esterified-estrogens-1874-1213-1017-0.html
9,Actos,trofinetide,https://www.drugs.com/drug-interactions/actos-with-trofinetide-1874-1213-4455-0.html
9,Actos,sibutramine,https://www.drugs.com/drug-interactions/actos-with-sibutramine-1874-1213-2060-0.html
9,Actos,methyclothiazide,https://www.drugs.com/drug-interactions/actos-with-methyclothiazide-1874-1213-1599-0.html
9,Actos,dienestrol topical,https://www.drugs.com/drug-interactions/actos-with-dienestrol-topical-1874-1213-877-0.html
9,Actos,dexamethasone topical,https://www.drugs.com/drug-interactions/actos-with-dexamethasone-topical-1874-1213-811-0.html
9,Actos,trovafloxacin,https://www.drugs.com/drug-interactions/actos-with-trovafloxacin-1874-1213-2265-0.html
9,Actos,quinestrol,https://www.drugs.com/drug-interactions/actos-with-quinestrol-1874-1213-2778-0.html
9,Actos,methazolamide,https://www.drugs.com/drug-interactions/actos-with-methazolamide-1874-1213-1580-0.html
9,Actos,phendimetrazine,https://www.drugs.com/drug-interactions/actos-with-phendimetrazine-1874-1213-1838-0.html
9,Actos,methotrexate,https://www.drugs.com/drug-interactions/actos-with-methotrexate-1874-1213-1590-0.html
9,Actos,pazopanib,https://www.drugs.com/drug-interactions/actos-with-pazopanib-1874-1213-3180-0.html
10,Acyclovir,ioxilan,https://www.drugs.com/drug-interactions/acyclovir-with-ioxilan-100-0-1379-0.html
10,Acyclovir,iodamide,https://www.drugs.com/drug-interactions/acyclovir-with-iodamide-100-0-1365-0.html
10,Acyclovir,temsirolimus,https://www.drugs.com/drug-interactions/acyclovir-with-temsirolimus-100-0-2155-0.html
10,Acyclovir,tenofovir disoproxil,https://www.drugs.com/drug-interactions/acyclovir-with-tenofovir-disoproxil-100-0-2158-0.html
10,Acyclovir,ioversol,https://www.drugs.com/drug-interactions/acyclovir-with-ioversol-100-0-1377-0.html
10,Acyclovir,iopamidol,https://www.drugs.com/drug-interactions/acyclovir-with-iopamidol-100-0-1373-0.html
10,Acyclovir,cidofovir,https://www.drugs.com/drug-interactions/acyclovir-with-cidofovir-100-0-666-0.html
10,Acyclovir,iohexol,https://www.drugs.com/drug-interactions/acyclovir-with-iohexol-100-0-1372-0.html
10,Acyclovir,tizanidine,https://www.drugs.com/drug-interactions/acyclovir-with-tizanidine-100-0-2205-0.html
10,Acyclovir,iodixanol,https://www.drugs.com/drug-interactions/acyclovir-with-iodixanol-100-0-1370-0.html
10,Acyclovir,iodipamide,https://www.drugs.com/drug-interactions/acyclovir-with-iodipamide-100-0-1369-0.html
10,Acyclovir,diatrizoate,https://www.drugs.com/drug-interactions/acyclovir-with-diatrizoate-100-0-860-0.html
10,Acyclovir,sirolimus,https://www.drugs.com/drug-interactions/acyclovir-with-sirolimus-100-0-2069-0.html
10,Acyclovir,inotersen,https://www.drugs.com/drug-interactions/acyclovir-with-inotersen-100-0-3969-0.html
10,Acyclovir,iothalamate,https://www.drugs.com/drug-interactions/acyclovir-with-iothalamate-100-0-1376-0.html
10,Acyclovir,tacrolimus,https://www.drugs.com/drug-interactions/acyclovir-with-tacrolimus-100-0-2142-0.html
10,Acyclovir,everolimus,https://www.drugs.com/drug-interactions/acyclovir-with-everolimus-100-0-3126-0.html
10,Acyclovir,iomeprol,https://www.drugs.com/drug-interactions/acyclovir-with-iomeprol-100-0-4376-0.html
10,Acyclovir,zoster vaccine live,https://www.drugs.com/drug-interactions/acyclovir-with-zoster-vaccine-live-100-0-2335-0.html
10,Acyclovir,tenofovir alafenamide,https://www.drugs.com/drug-interactions/acyclovir-with-tenofovir-alafenamide-100-0-3773-0.html
10,Acyclovir,ioxaglate,https://www.drugs.com/drug-interactions/acyclovir-with-ioxaglate-100-0-1378-0.html
10,Acyclovir,varicella virus vaccine,https://www.drugs.com/drug-interactions/acyclovir-with-varicella-virus-vaccine-100-0-2292-0.html
10,Acyclovir,metrizamide,https://www.drugs.com/drug-interactions/acyclovir-with-metrizamide-100-0-1616-0.html
10,Acyclovir,fezolinetant,https://www.drugs.com/drug-interactions/acyclovir-with-fezolinetant-100-0-4478-0.html
10,Acyclovir,iopromide,https://www.drugs.com/drug-interactions/acyclovir-with-iopromide-100-0-1375-0.html
11,Adderall,iohexol,https://www.drugs.com/drug-interactions/adderall-with-iohexol-190-1645-1372-0.html
11,Adderall,linezolid,https://www.drugs.com/drug-interactions/adderall-with-linezolid-190-1645-1472-0.html
11,Adderall,metrizamide,https://www.drugs.com/drug-interactions/adderall-with-metrizamide-190-1645-1616-0.html
11,Adderall,desvenlafaxine,https://www.drugs.com/drug-interactions/adderall-with-desvenlafaxine-190-1645-2796-0.html
11,Adderall,milnacipran,https://www.drugs.com/drug-interactions/adderall-with-milnacipran-190-1645-3101-0.html
11,Adderall,citalopram,https://www.drugs.com/drug-interactions/adderall-with-citalopram-190-1645-679-0.html
