Drug ID,Drug Name,Usage,Warnings,Side Effects,Generic Name,Drug Class
11,Adderall,Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall may also be used for purposes not listed in this medication guide.,"Adderall may be habit-forming, and this medicine is a drug of abuse.Tell your doctor if you have had problems with drug or alcohol abuse. Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.","signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems- numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or; changes in your vision.",amphetamine and dextroamphetamine,CNS stimulants
12,Adderall XR,Adderall XR is a central nervous system stimulant that affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall XR is a combination medicine used to treat attention deficit hyperactivity disorder (ADHD).,"This medicine is a drug of abuse.Tell your doctor if you have had problems with drug or alcohol abuse. Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.","signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or; changes in your vision.",amphetamine and dextroamphetamine,CNS stimulants
13,Advair Diskus,"Advair Diskusinhalation is a steroid and bronchodilator combination medicine that is used to prevent asthma attacks. It is also used to prevent flare-ups or worsening of chronic obstructive pulmonary disease (COPD) associated withchronic bronchitisand/or emphysema. In people with COPD, Advair Diskus is for long-term treatment.In people with asthma,  Advair Diskus is for short-term treatment until symptoms are well controlled with with other medicines.","Advair Diskus is not a rescue medicine. It will not work fast enough to treat an asthma or bronchospasm attack. Seek medical attention you have worsening breathing problems, or if you think your medications are not working as well.","wheezing, choking, or other breathing problems after using this medicine; fever, chills, cough with mucus, feeling short of breath; chest pain, fast or irregular heartbeats, severe headache, pounding in your neck or ears; tremors, nervousness; blurred vision, tunnel vision, eye pain, or seeing halos around lights; signs of thrush (a fungal infection)--sores or white patches in your mouth or throat, trouble swallowing; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; or; signs of a hormonal disorder--worsening tiredness or weakness, feeling light-headed, nausea, vomiting.",fluticasone and salmeterol,Bronchodilator combinations
14,Advil,"Advil is a nonsteroidal anti-inflammatory drug (NSAID). Ibuprofen works by reducing hormones that cause inflammation and pain in the body. Advil is used to reduce fever and treat pain or inflammation caused by many conditions such asheadache,toothache,back pain, arthritis, menstrual cramps, or minor injury.","Do not take more than your recommended dose.An ibuprofen overdose can damage your stomach or intestines.Use only the smallest amount of medication needed to get relief from your pain, swelling, or fever. Advil can increase your risk of fatal heart attack or stroke, even if you don't have any risk factors. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG).","changes in your vision; shortness of breath (even with mild exertion); swelling or rapid weight gain; a skin rash, no matter how mild; signs of stomach bleeding- bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems- nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes); low red blood cells (anemia)- pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or; kidney problems- little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath.",ibuprofen,Nonsteroidal anti-inflammatory drugs
15,Afinitor,"Afinitor is acancer medicinethat interferes with the growth of cancer cells and slows their spread in the body. Afinitor is used to treat certain types ofkidney cancer,breast cancer, orbrain tumor. It is also used to treat certain types of advanced or progressive tumors of the stomach, intestines, or pancreas.","Afinitor can cause serious and sometimes fatal side effects. Call your doctor right away if you have:signs of infection--fever, chills,skin rash, joint pain, tiredness;lung problems--cough, chest pain, wheezing, shortness of breath;kidney problems--swelling, little or no urination; orliver problems--loss of appetite, dark urine, yellowing of your skin or eyes, or upper stomach pain. If you have ever had hepatitis B, Afinitor can cause this condition to come back or get worse.","blisters or ulcers in your mouth, red or swollen gums, trouble swallowing; lung problems -new or worsening cough, chest pain, wheezing, feeling short of breath; signs of infection -fever, chills, tiredness, joint pain, skin rash; kidney problems -little or no urination; swelling in your feet or ankles; liver problems -nausea, loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes); low blood cell counts -flu-like symptoms, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed; any wound that will not heal; or; a surgical incision that is red, warm, swollen, painful, bleeding, or oozing pus.",everolimus,"MTOR inhibitors, Selective immunosuppressants"
16,Agamree,"Agamree (vamorolone) is a novel corticosteroid used to treatDuchenne muscular dystrophy(DMD) to help improve motor function.Agamree works through its anti-inflammatory and immunosuppressive effects, which help slow muscle damage. As well as improving motor function, Agamree also has potentially fewer side effects on bone health, growth rate, and behavior. Agamree is a once daily oral suspension.","Changes in endocrine function:Corticosteroids, such as this medicine, can cause serious and life-threatening alterations in endocrine function, especially with chronic use. Immunosuppression and increased risk of infection:Agamree suppresses the immune system and increases the risk of viral, bacterial, fungal, protozoan, or helminthic infections.","Vomiting17% (placebo 7%); Cough10% (placebo 3%); Cushingoid features 7% (placebo 0%); Headache7% (placebo 3%); Psychiatric disorders 7% (placebo 14%); Vitamin D deficiency 7% (placebo 0%); Diarrhea3% (placebo 3%); Increased appetite 3% (3%); Rhinitis, nasal congestion, runny nose 3% (placebo 3%); Weight increase 0% (placebo 3%)",vamorolone,Glucocorticoids
17,Aimovig,"Aimovig (erenumab-aooe) is a once-monthly, self-administered injection used to prevent migraines in adults. It helpsprevent migrainesbefore they start and reduces the number of migraine days per month. Aimovig is given as an injection under the skin (subcutaneous injection) using an Aimovig autoinjector or a single-dose prefilled syringe. Aimovig works by blocking the effect of calcitonin gene-related peptide (CGRP), a small protein involved in migraines that increases during a migraine attack. By blocking CGRP, Aimovig stops interaction between CGRP and the CGRP receptor which helps to prevent migraines. Aimovig is from a class of medicines calledCGRP inhibitors.","This medicine may cause allergic reactions. If a serious allergic reaction occurs, stop injecting and go to the emergency room. Hypersensitivity reactions can occur within hours to more than one week after administration. May also cause constipation with serious complications and new-onset or worsening of pre-existing high blood pressure may occur.","Injection site reactions includingpain, redness, or swelling at the injection site (6%); constipation(1%); cramps, muscle spasms (<1%).",erenumab,CGRP inhibitors
18,Ajovy,Ajovy is an injectable prescription medicine used to preventmigraineheadaches in adults. Ajovy works by blocking the activity of calcitonin gene-related peptide (CGRP).,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions,allergies, and all medicines you use. You should not use Ajovy if you are allergic to fremanezumab-vfrm.","pain, redness, or a hard lump where the medicine was injected.",fremanezumab-vfrm,CGRP inhibitors
19,Albuterol Inhalation,"Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs. Albuterol inhalation is used to treat or prevent bronchospasm, or narrowing of the airways in the lungs, in people with asthma or certain types of chronic obstructive pulmonary disease (COPD). It is also used to prevent exercise-induced bronchospasm.","It is important to keep albuterol on hand at all times. Get your prescription refilled before you run out of medicine completely. Keep using all of your other medications as prescribed by your doctor. Talk with your doctor if any of your asthma medications do not seem to work as well in treating or preventing attacks. If it seems like you need to use more of any of your medications in a 24-hour period, talk with your doctor. An increased need for medication could be an early sign of a serious asthma attack.","wheezing, choking, or other breathing problems after using this medicine; chest pain, fast heart rate, pounding heartbeats or fluttering in your chest; pain or burning when you urinate; increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss; or; signs of low potassium - leg cramps, constipation, irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling.",albuterol inhalation,Adrenergic bronchodilators
20,Alecensa,"Alecensa (alectinib) is an oral kinase inhibitor that may be used to treat certain types ofnon-small cell lung cancer(NSCLC) in adults that have been caused by an abnormal anaplastic lymphoma kinase (ALK) gene, specifically: Alecensa is used only if your cancer has a specific genetic marker (an abnormal ""ALK"" gene). Your doctor will test you for this gene.",,"anemia; constipation; swelling in your face, eyelids, hands, or lower legs; tired feeling; or; muscle pain.",alectinib,Multikinase inhibitors
21,Alendronate,"Alendronate is used to treatosteoporosiscaused bymenopause, steroid use, or gonadal failure.  alendronate is for use when you have a high risk ofbone fracturedue to osteoporosis. Alendronate is also used to treatPaget's diseaseof bone.","You should not take alendronate if you have problems with your esophagus, or low levels of calcium in your blood. Do not take alendronate if you cannot sit upright or stand for at least 30 minutes after taking the medicine.","chest pain, new or worseningheartburn; difficulty or pain when swallowing; pain or burning under the ribs or in the back; severe heartburn, burning pain in your upper stomach, or coughing up blood; new or unusual pain in your thigh or hip; jaw pain, numbness, or swelling; severe joint, bone, ormuscle pain; or; low calcium levels--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes).",alendronate,Bisphosphonates
22,Aleve,"Aleve is anonsteroidal anti-inflammatory drug(NSAID). Naproxen works by reducing hormones that cause inflammation and pain in the body. Aleve is used to temporarily relieve minor aches and pains due toarthritis, muscular aches, backache,menstrual cramps, headache, toothache,and thecommon cold. Aleve is also used to temporarily reduce fever.","You should not use Aleve if you have a history of allergic reaction to aspirin or other NSAID (nonsteroidal anti-inflammatory drug). Naproxen can increase your risk of fatal heart attack or stroke, especially if you use it long term or take high doses, or if you have heart disease. Even people without heart disease or risk factors could have a stroke or heart attack while taking this medicine.","shortness of breath (even with mild exertion); swelling or rapid weight gain; the first sign of any skin rash, no matter how mild; signs of stomach bleeding- bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems- nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems- little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; low red blood cells (anemia)- pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or; severe skin reaction- fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling.",naproxen,Nonsteroidal anti-inflammatory drugs
23,Alfuzosin (Oral),"Alfuzosin is used to treat the signs and symptoms of benign enlargement of the prostate (benign prostatic hyperplasia or BPH). Benign enlargement of the prostate is a problem that can occur in men as they get older. The prostate gland is located below the bladder. As the prostate gland enlarges, certain muscles in the gland may become tight and get in the way of the tube that drains urine from the bladder. This can cause problems with urinating, such as a need to urinate often, a weak stream when urinating, or a feeling of not being able to empty the bladder completely. Alfuzosin helps relax the muscles in the prostate and the opening of the bladder. This may help increase the flow of urine or decrease the symptoms. However, alfuzosin will not shrink the prostate. The prostate may continue to get larger. This may cause the symptoms to become worse over time. Therefore, even though alfuzosin may lessen the problems caused by enlarged prostate now, surgery may still be needed in the future.","It is very important that your doctor check your progress at regular visitsto make sure that this medicine is working properly and to check for unwanted effects. Do not use this medicine if you are taking ketoconazole (Nizoral®), itraconazole (Sporanox®), or ritonavir (Norvir®).","Chest pain; chills; cold sweats; confusion; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position; fainting; fast, pounding, or irregular heartbeat or pulse; painful or prolonged erection of the penis",alfuzosin,Alpha blockers
24,Allegra,"Allegra is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Allegra is used to treat the symptoms of seasonal allergies (hay fever) in adults and children.","Ask a doctor or pharmacist before taking Allegra if you are allergic to any drugs, or if you have kidney disease. Do not take Allegra with fruit juice (such as apple, orange, or grapefruit).","nausea, diarrhea, upset stomach; menstrual cramps; drowsiness, tired feeling; headache; or; muscle or back pain.",fexofenadine,Antihistamines
25,Allopurinol,"Allopurinol belongs to a class of medications called xanthine oxidase inhibitors. It works by reducing the production of uric acid in the body. High levels of uric acid may cause gout attacks or kidney stones. Allopurinol is used to treatgout(a type of arthritis in which uric acid, a naturally occurring substance in the body, builds up in the joints and causes sudden attacks of redness, swelling, pain, and heat in one or more joints). Allopurinol is used to prevent gout attacks, not to treat them once they occur. Allopurinol does not need to be stopped during an acute flare.",You should not use this medicine if you have ever had an allergic reaction to allopurinol. Allopurinol can lower blood cells that help your body fight infections. This can make it easier for you to bleed from an injury or get sick from being around others who are ill. Your blood may need to be tested often. Visit your doctor regularly.,"any skin rash, no matter how mild; painful urination, blood in the urine; inflammation of your blood vessels- numbness or tingling, skin rash, fever,headache, body aches, night sweats,weight loss, feeling or weak or tired; signs of infection- fever, chills, sore throat, body aches, unusual tiredness, loss of appetite, bruising or bleeding; or; liver problems- loss of appetite, weight loss, stomach pain (upper right side), itching, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes).",allopurinol (oral/injection),"Antigout agents, Antihyperuricemic agents"
26,Alprazolam,"Alprazolamis abenzodiazepine(ben-zoe-dye-AZE-eh-peen). It is thought that it works by enhancing the activity of certain neurotransmitters in the brain. Alprazolam is used to treatanxiety disorders,panic disorders, and anxiety caused bydepression.","MISUSE OF ALPRAZOLAM CAN CAUSE ADDICTION, OVERDOSE, OR DEATH and should be used only by the person for whom it was prescribed. Keep the medication in a place where others cannot get to it. Alprazolam can slow or stop your breathing and fatal side effects can occur if you take this medicine with alcohol, opioid medicine, or other drugs that cause drowsiness or slow your breathing.","weak or shallow breathing; a light-headed feeling, like you might pass out; a seizure; hallucinations, risk-taking behavior; increased energy, decreased need for sleep; racing thoughts, being agitated or talkative; double vision; or; jaundice(yellowing of the skin or eyes).",alprazolam,Benzodiazepines
27,Alprolix,"Alprolix is used to help control and prevent bleeding in people withhemophilia B(congenital Factor IX deficiency). Alprolix is acoagulation Factor IXconcentrate that replaces the missing or low levels of Factor IX; this helps control bleeding episodes, manage bleeding in surgery, and can be used regularly to prevent bleeding episodes. Coagulation Factor IX is sometimes written as coagulation Factor 9. Alprolix is a recombinant Factor product, which means it is developed in a laboratory and isnothuman plasma derived from donor-sourced plasma.","You should not use Alprolix if you are allergic to Alprolix or any of the other ingredients. Tell your healthcare provider if you have had an allergic reaction to any Factor IX product prior to using Alprolix. Tell your doctor about all of your medical conditions, including if you:","weight gain, swelling in your waist, hands, or lower legs; loss of appetite; feveror chills; continued bleeding after treatment; new or worsened bleeding; or; signs of excessive blood clotting--sudden numbness or weakness (especially on one side of the body), slurred speech, problems with vision or balance, chest pain, coughing up blood, or pain, swelling, warmth, and redness in one or both legs.","Coagulation Factor IX (Recombinant), Fc Fusion Protein",Miscellaneous coagulation modifiers
28,Alunbrig,Alunbrig is a cancer medicine thatinterferes with the growthand spread of cancer cells in the body. Alunbrig is used to treatnon-small cell lung cancerthat has spread to other parts of the body (metastatic).,"Alunbrig can cause serious side effects such as lung problems, vision problems,high blood pressure, high blood sugar, very slow heartbeats, muscle damage, orpancreatitis. Call your doctor at once if you have side effects, such as:severeheadache, confusion, feeling light-headed, blurred vision, seeing flashes of light or ""floaters"" in your vision, increased thirst or urination, hunger,nausea, upper stomach pain spreading to your back, unexplained muscle pain or weakness, fever, cough, chest pain, trouble breathing, very slow heartbeats, or feeling like you might pass out.","lung problems- cough, trouble breathing, chest pain, fever; vision problems- blurred vision, double vision, increased sensitivity to light, seeing flashes of light or ""floaters"" in your vision; high blood pressure- severe headache, pounding in your neck or ears,dizziness; high blood sugar- increased thirst, increased urination, hunger, nausea, fruity breath odor, weakness, confusion; heart problems- very slow heartbeats, feeling like you might pass out; muscle problems- unexplained muscle pain or weakness; or; pancreatitis- upper stomach pain (worse with eating and may spread to your back), nausea,weight loss.",brigatinib,Multikinase inhibitors
29,Amantadine,"Amantadineis an antiviral medicine that blocks the actions of viruses in your body. Amantadine is used to treatParkinson's diseaseand ""Parkinson-like"" symptoms such as stiffness or tremors, shaking, and repetitive uncontrolled muscle movements that may be caused by the use of certain drugs.","You should not use amantadine if you received a nasal flu vaccine in the past 14 days. Do not receive a nasal flu vaccine while taking amantadine, and for at least 48 hours after your last dose. You may receive a flu shot (injection) while taking amantadine.","extreme drowsiness, falling asleep suddenly even after feeling alert; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling in your hands or feet; painful or difficult urination; depression, agitation, aggression, behavior changes, hallucinations, thoughts of hurting yourself; a seizure; or; severe nervous system reaction- very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors.",amantadine,"Adamantane antivirals, Dopaminergic antiparkinsonism agents"
30,Ambien,"Ambien is a sedative, also called a hypnotic. Ambien (zolpidem) affects chemicals in the brain that may be unbalanced in people with sleep problems (insomnia). Ambien is used to treatinsomnia. The immediate-release tablet is used to help you fall asleep when you first go to bed. The extended-release form, Ambien CR, which has a first layer that dissolves quickly to help you fall asleep, and a second layer that dissolves slowly to help you stay asleep.","Ambien may cause a severe allergic reaction.Stop taking this medicine and get emergency medical help if you have any of thesesigns of an allergic reaction:hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Do not share Ambien with another person, even if they have the same symptoms you have. The recommended doses of zolpidem are not the same in men and women, and this drug is not approved for use in children. Misuse of this medication can result in dangerous side effects.","chest pain, fast orirregular heartbeat, feeling short of breath; trouble breathing or swallowing; or; feeling like you might pass out.",zolpidem,"Miscellaneous anxiolytics, sedatives and hypnotics"
